method,input_version,cn_ad_auc,cn_mci_cls_auc,mci_ad_cls_auc,3class_macro_auc,mci_conv_auc,cn_mci_conv_auc,r2_d_mod3,pearson_d_mod3,spearman_d_mod3,alignment_spearman,z_std_test,z_active_dims_005
Pure ML direct LR/Ridge on 768,combat,0.8472941176470589,0.578980694980695,0.7606934665758196,0.6613535627370241,0.6842857142857142,0.2898876404494382,0.1476024332269031,0.4450355542121561,0.4376833484057679,0.0356278904014618,,
Pure ML direct LR/Ridge on 768,raw,0.859529411764706,0.5766177606177607,0.7621318797789386,0.657122449587882,0.6435714285714286,0.3168539325842697,0.2370208374243633,0.5123545020823749,0.4667079120022348,0.0453486034165119,,
Pure supervised MLP 768-384-256,combat,0.7192941176470589,0.5663166023166024,0.7090241502006207,0.6409486541178023,0.5985714285714285,0.2022471910112359,0.0384620274676543,0.3364881530149269,0.3309324234107262,0.0912718430243881,,
Pure supervised MLP 768-384-256,raw,0.7515294117647059,0.5618378378378378,0.6928987811340752,0.6100324148600236,0.6264285714285713,0.2404494382022471,0.0566773786006109,0.3766981130296147,0.338407067915162,0.0995213357389061,,
Euclidean contrastive + linear,combat,0.8186666666666667,0.6024401544401543,0.7389658566129155,0.655776028255722,0.7178571428571429,0.6022471910112359,0.1213918191892842,0.4373472255626676,0.4168062116317108,0.1621949317568503,0.0243324320763349,16.0
Euclidean contrastive + linear,raw,0.7932549019607843,0.59403861003861,0.7108789461730639,0.6347419795575425,0.7685714285714286,0.6741573033707865,0.1492106033718649,0.456149306305199,0.4287359514651827,0.1695176282492983,0.0298275928944349,25.0
Hybrid rank+euclidean + linear,combat,0.8321568627450979,0.6090656370656371,0.7507381330910742,0.6599450187647943,0.7542857142857142,0.696629213483146,0.1058818113260224,0.4405350793872847,0.4232753636454984,0.1633848877683283,0.0264536403119564,16.0
Hybrid rank+euclidean + linear,raw,0.7927058823529413,0.5722934362934363,0.7390794155500038,0.6334662678580828,0.7535714285714286,0.6764044943820224,0.1055860733674267,0.4333376460952062,0.4123920663755293,0.1603433692144474,0.0273108966648578,12.0
Rank-only Kendall + linear,combat,0.8266274509803923,0.5937760617760618,0.774282686047392,0.6594020015990926,0.7264285714285714,0.6134831460674157,0.0772411418610566,0.4173134162133031,0.3958411654753393,0.0647316950626456,0.9945342540740968,256.0
Rank-only Kendall + linear,raw,0.8084705882352942,0.5971428571428572,0.75721099250511,0.6597257925209166,0.7064285714285714,0.5011235955056179,0.0941925951955942,0.4225087860104751,0.392843145146229,0.0829773136991724,0.940214216709137,256.0
Hybrid direct 1D rank head s,combat,,,,,0.7357142857142857,0.6584269662921348,,0.4008195273877593,0.3852791504302614,,,
Hybrid direct 1D rank head s,raw,,,,,0.7521428571428571,0.6449438202247191,,0.4311030729583808,0.4091336848656449,,,
Rank-only direct 1D rank head s,combat,,,,,0.7464285714285714,0.6696629213483146,,0.3388339638397957,0.3752087124458326,,,
Rank-only direct 1D rank head s,raw,,,,,0.6785714285714286,0.5662921348314607,,0.3498603641397425,0.3407559680790564,,,
